CVE,DESCRIP
A310,Infecciones por micobacterias pulmonares
A311,Infección cutánea por micobacterias
A318,Otras infecciones por micobacterias
A319,"Infección por micobacteria, no especificada"
A320,Listeriosis cutánea
A321,Meningitis y meningoencefalitis listeriana
A327,Sepsis listeriana
A328,Otras formas de listeriosis
A329,"Listeriosis, no especificada"
A33X,Tétanos neonatal
A34X,Tétanos obstétrico
A35X,Otros tétanos
A360,Difteria faríngea
A361,Difteria nasofaríngea
A362,Difteria laríngea
A363,Difteria cutánea
A368,Otras difterias
A369,"Difteria, no especificada"
A370,Tos ferina debida a Bordetella pertussis
A371,Tos ferina debida a Bordetella parapertussis
A378,Tos ferina debida a otras especies de Bordetella
A379,"Tos ferina, no especificada"
A38X,Escarlatina
A390,Meningitis meningocócica
A391,Síndrome de Waterhouse-Friderichsen
A392,Meningococemia aguda
A393,Meningococemia crónica
A394,"Meningococemia, no especificada"
A395,Enfermedad cardiaca debida a meningococo
A398,Otras infecciones meningocócicas
A399,"Enfermedad meningocócica, no especificada"
A400,"Sepsis debida a estreptococo, grupo A"
A401,"Sepsis debida a estreptococo, grupo B"
A402,"Sepsis debida a estreptococo, grupo D"
A403,Sepsis debida a Streptococcus pneumoniae
A408,Otras sepsis estreptocócicas
A409,"Sepsis estreptocócica, no especificada"
A410,Sepsis debida a Staphylococcus aureus
A411,Sepsis debida a otro estafilococo especificado
A412,Sepsis debida a estafilococo no especificado
A413,Sepsis debida a Haemophilus influenzae
A414,Sepsis debida a anaerobios
A415,Sepsis debida a otros organismos gramnegativos
A418,Otras sepsis especificadas
A419,"Sepsis, no especificada"
A420,Actinomicosis pulmonar
A421,Actinomicosis abdominal
A422,Actinomicosis cervicofacial
A427,Sepsis actinomicótica
A428,Otras formas de actinomicosis
A429,"Actinomicosis, sin otra especificación"
A430,Nocardiosis pulmonar
A431,Nocardiosis cutánea
A438,Otras formas de nocardiosis
A439,"Nocardiosis, no especificada"
A440,Bartonelosis sistémica
A441,Bartonelosis cutánea y mucocutánea
A448,Otras formas de bartonelosis
A449,"Bartonelosis, no especificada"
A46X,Erisipela
A480,Gangrena gaseosa
A481,Enfermedad de los legionarios
A482,Enfermedad de los legionarios no neumónica (fiebre de Pontiac)
A483,Síndrome del choque tóxico
A484,Fiebre purpúrica brasileña
A488,Otras enfermedades bacterianas especificadas
A490,"Infección estafilocócica, sin otra especificación"
A491,"Infección estreptocócica, sin otra especificación"
A492,"Infección por Haemophilus influenzae, sin otra especificación"
A493,"Infección por microplasma, sin otra especificación"
A498,Otras infecciones bacterianas de sitio no especificado
A499,"Infección bacteriana, no especificada"
A500,"Sífilis congénita precoz, sintomática"
A501,"Sífilis congénita precoz, latente"
A502,"Sífilis congénita precoz, sin otra especificación"
A503,Oculopatía sifilítica congénita tardía
A504,Neurosífilis congénita tardía [neurosífilis juvenil]
A505,"Otras formas de sífilis congénita tardía, sintomática"
A506,"Sífilis congénita tardía, latente"
A507,"Sífilis congénita tardía, sin otra especificación"
A509,"Sífilis congénita, sin otra especificación"
A510,Sífilis genital primaria
A511,Sífilis primaria anal
A512,Sífilis primaria en otros sitios
A513,Sífilis secundaria de piel y membranas mucosas
A514,Otras sífilis secundarias
A515,"Sífilis precoz, latente"
A519,"Sífilis precoz, sin otra especificación"
A520,Sífilis cardiovascular
A521,Neurosífilis sintomática
A522,Neurosífilis asintomática
A523,Neurosífilis no especificada
A527,Otras sífilis tardías sintomáticas
A528,"Sífilis tardía, latente"
A529,"Sífilis tardía, no especificada"
A530,"Sífilis latente, no especificada como precoz o tardía"
A539,"Sífilis, no especificada"
A540,Infección gonocócica del tracto genitourinario inferior sin absceso periuretral y de glándula accesoria
A541,Infección gonocócica del tracto genitourinario inferior con absceso periuretral y de glándulas accesorias
A542,Pelviperitonitis gonocócica y otras infecciones gonocócicas genitourinarias
A543,Infección gonocócica del ojo
A544,Infección gonocócica del sistema osteomuscular
A545,Faringitis gonocócica
A546,Infección gonocócica del ano y del recto
A548,Otras infecciones gonocócicas
A549,"Infección gonocócica, no especificada"
A55X,Linfogranuloma (venéreo) por clamidias
A560,Infección del tracto genitourinario inferior debida a clamidias
A561,Infección del pelviperitoneo y otros órganos genitourinarios debida a clamidias
A562,"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificación"
A563,Infección del ano y del recto debida a clamidias
A564,Infección de faringe debida a clamidias
A568,Infección de transmisión sexual de otros sitios debida a clamidias
A57X,Chancro blando
A58X,Granuloma inguinal
A590,Tricomoniasis urogenital
A598,Tricomoniasis de otros sitos
A599,"Tricomoniasis, no especificada"
A600,Infección de genitales y trayecto urogenital debida a virus del herpes (herpes simple)
A601,Infección de la piel perianal y recto por virus del herpes simple
A609,"Infección anogenital por virus del herpes simple, sin otra especificación"
A630,Verrugas (venéreas) anogenitales
A638,"Otras enfermedades de transmisión predominantemente sexual, especificadas"
A64X,Enfermedad de transmisión sexual no especificada
A65X,Sífilis no venérea
A660,Lesiones iniciales de frambesia
A661,Lesiones papilomatosas múltiples y frambesia con paso de cangrejo
A662,Otras lesiones precoces de la piel en la frambesia
A663,Hiperqueratosis de frambesia
A664,Goma y úlceras de frambesia
A665,Gangosa
A666,Lesiones frambésicas de los huesos y de las articulaciones
A667,Otras manifestaciones de frambesia
A668,Frambesia latente
A669,"Frambesia, no especificada"
A670,Lesiones primarias de la pinta
A671,Lesiones intermedias de la pinta
A672,Lesiones tardías de la pinta
A673,Lesiones mixtas de la pinta
A679,"Pinta, no especificada"
A680,Fiebre recurrente transmitida por piojos
A681,Fiebre recurrente transmitida por garrapatas
A689,"Fiebre recurrente, no especificada"
A690,Estomatitis ulcerativa necrotizante
A691,Otras infecciones de Vincent
A692,Enfermedad de Lyme
A698,Otras infecciones especificadas por espiroquetas
A699,"Infección por espiroqueta, no especificada"
A70X,Infección debida a Chlamydia psittaci
A710,Estado inicial de tracoma
A711,Estado activo de tracoma
A719,"Tracoma, no especificado"
A740,Conjuntivitis por clamidias
A748,Otras enfermedades por clamidias
A749,"Infección por clamidias, no especificada"
A750,Tifus epidémico debido a Rickettsia prowazekii transmitido por piojos
A751,Tifus recrudescente [enfermedad de Brill]
A752,Tifus debido a Rickettsia typhi
A753,Tifus debido a Rickettsia tsutsugamushi
A759,"Tifus, no especificado"
A770,Fiebre maculosa debida a Rickettsia rickettsii
A771,Fiebre maculosa debida a Rickettsia conorii
A772,Fiebre maculosa debida a Rickettsia siberica
A773,Fiebre maculosa debida a Rickettsia australis
A778,Otras fiebres maculosas
A779,"Fiebre maculosa, no especificada"
A78X,Fiebre Q
A790,Fiebre de las trincheras
A791,Rickettsiosis pustulosa debida a Rickettsia akari
A798,Otras rickettsiosis especificadas
A799,"Rickettsiosis, no especificada"
A800,"Poliomielitis aguda paralítica, asociada a vacuna"
A801,Poliomielitis aguda paralítica debida a virus salvaje importado
A802,Poliomielitis aguda paralítica debida a virus salvaje autóctono
A803,Otras poliomielitis agudas paralíticas y las no especificadas
A804,Poliomielitis aguda no paralítica
A809,"Poliomielitis aguda, sin otra especificación"
A810,Enfermedad de Creutzfeldt-Jakob
A811,Panencefalitis esclerosante subaguda
A812,Leucoencefalopatía multifocal progresiva
A818,Otras infecciones del sistema nervioso central por virus atípico
A819,"Infecciones del sistema nervioso central por virus atípico, sin otra especificación"
A820,Rabia selvática
A821,Rabia urbana
A829,"Rabia, sin otra especificación"
A830,Encefalitis japonesa
A831,Encefalitis equina del oeste
A832,Encefalitis equina del este
A833,Encefalitis de San Luis
A834,Encefalitis australiana
A835,Encefalitis de California
A836,Enfermedad por virus Rocío
A838,Otras encefalitis virales transmitidas por mosquitos
A839,"Encefalitis viral transmitida por mosquitos, sin otra especificación"
A840,Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa]
A841,Encefalitis centroeuropea transmitida por garrapatas
A848,Otras encefalitis virales transmitida por garrapatas
A849,"Encefalitis viral transmitida por garrapatas, sin otra especificación"
A850,Encefalitis enteroviral
A851,Encefalitis por adenovirus
A852,"Encefalitis viral transmitida por artrópodos, sin otra especificación"
A858,Otras encefalitis virales especificadas
A86X,"Encefalitis viral, no especificada"
A870,Meningitis enteroviral
A871,Meningitis debida a adenovirus
A872,Coriomeningitis linfocítica
A878,Otras meningitis virales
A879,"Meningitis viral, sin otra especificación"
A880,Fiebre exantemática enteroviral [exantema de Boston]
A881,Vértigo epidémico
A888,Otras infecciones virales especificadas del sistema nervioso central
A89X,"Infección viral del sistema nervioso central, no especificada"
A90X,Fiebre del dengue [dengue clásico]
A91X,Fiebre del dengue hemorrágico
A920,Enfermedad por virus Chikungunya
A921,Fiebre de O'nyong-nyong
A922,Fiebre equina venezolana
A923,Infección por virus del oeste del Nilo
A924,Fiebre del valle del Rift
A928,Otras fiebres virales especificadas transmitidas por mosquitos
A929,"Fiebre viral transmitida por mosquito, sin otra especificación"
A930,Enfermedad por virus de  Oropouche
A931,Fiebre transmitida por flebótomos
A932,Fiebre de Colorado transmitida por garrapatas
A938,Otras fiebres virales especificadas transmitidas por artrópodos
A94X,"Fiebre viral transmitida por artrópodos, no especificada"
A950,Fiebre amarilla selvática
A951,Fiebre amarilla urbana
A959,"Fiebre amarilla, no especificada"
A960,Fiebre hemorrágica de Junín
A961,Fiebre hemorrágica de Machupo
A962,Fiebre de Lassa
A968,Otras fiebres hemorrágicas por arenavirus
A969,"Fiebre hemorrágica por arenavirus, sin otra especificación"
A980,Fiebre hemorrágica de Crimea-Congo
A981,Fiebre hemorrágica de Omsk
A982,Enfermedad de la selva Kyasanur
A983,Enfermedad por el virus de Marburg
A984,Enfermedad por el virus de Ebola
A985,Fiebres hemorrágicas con síndrome renal
A988,Otras fiebres hemorrágicas virales especificadas
A99X,"Fiebre viral hemorrágica, no especificada"
B000,Eczema herpético
B001,Dermatitis vesicular herpética
B002,Gingivoestomatitis y faringoamigdalitis herpética
B003,Meningitis herpética
B004,Encefalitis herpética
B005,Oculopatía herpética
B007,Enfermedad herpética diseminada
B008,Otras formas de infecciones herpéticas
B009,"Infección debida al virus del herpes, no especificada"
B010,Meningitis debida a varicela
B011,Encefalitis debida a varicela
B012,Neumonía debida a varicela
B018,Varicela con otras complicaciones
B019,Varicela sin complicaciones
B020,Encefalitis debida a herpes zoster
B021,Meningitis debida a herpes zoster
B022,Herpes zoster con otros compromisos del sistema nervioso
B023,Herpes zoster ocular
B027,Herpes zoster diseminado
B028,Herpes zoster con otras complicaciones
B029,Herpes zoster sin complicaciones
B03X,Viruela
B04X,Viruela de los monos
B050,Sarampión complicado con encefalitis
B051,Sarampión complicado con meningitis
B052,Sarampión complicado con neumonía
B053,Sarampión complicado con otitis media
B054,Sarampión con complicaciones intestinales
B058,Sarampión con otras complicaciones
B059,Sarampión sin complicaciones
B060,Rubéola con complicaciones neurológicas
B068,Rubéola con otras complicaciones
B069,Rubéola sin complicaciones
B07X,Verrugas víricas
B080,Otras infecciones debidas a ortopoxvirus
B081,Molusco contagioso
B082,Exantema súbito [sexta enfermedad]
B083,Eritema infeccioso [quinta enfermedad]
B084,Estomatitis vesicular enteroviral con exantema
B085,Faringitis vesicular enterovírica
B088,"Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas"
B09X,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas"
B150,"Hepatitis aguda tipo A, con coma hepático"
B159,"Hepatitis aguda tipo A, sin coma hepático"
B160,"Hepatitis aguda tipo B, con agente delta (coinfección), con coma hepático"
B161,"Hepatitis aguda tipo B, con agente delta (coinfección), sin coma hepático"
B162,"Hepatitis aguda tipo B, sin agente delta, con coma hepático"
B169,"Hepatitis aguda tipo B, sin agente delta y sin coma hepático"
B170,Infección (superinfección) aguda por agente delta en el portador de hepatitis B
B171,Hepatitis aguda tipo C
B172,Hepatitis aguda tipo E
B178,Otras hepatitis virales agudas especificadas
B179,Hepatitis viral aguda no especificada
B180,"Hepatitis viral tipo B crónica, con agente delta"
B181,"Hepatitis viral tipo B crónica, sin agente delta"
B182,Hepatitis viral tipo C crónica
B188,Otras hepatitis virales crónicas
B189,"Hepatitis viral crónica, sin otra especificación"
B190,Hepatitis viral no especificada con coma hepático
B199,Hepatitis viral no especificada sin coma hepático
B200,"Enfermedad por VIH, resultante en infección por micobacterias"
B201,"Enfermedad por VIH, resultante en otras infecciones bacterianas"
B202,"Enfermedad por VIH, resultante en enfermedad por citomegalovirus"
B203,"Enfermedad por VIH, resultante en otras infecciones virales"
B204,"Enfermedad por VIH, resultante en candidiasis"
B205,"Enfermedad por VIH, resultante en otras micosis"
B206,"Enfermedad por VIH, resultante en neumonía por Pneumocystis carinii"
B207,"Enfermedad por VIH, resultante en infecciones múltiples"
B208,"Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias"
B209,"Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada"
B210,"Enfermedad por VIH, resultante en sarcoma de Kaposi"
B211,"Enfermedad por VIH, resultante en linfoma de Burkitt"
B212,"Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin"
B213,"Enfermedad por VIH, resultante en otros tumores malignos del tejido linfoide, hematopoyético y tejidos relacionados"
B217,"Enfermedad por VIH, resultante en tumores malignos múltiples"
B218,"Enfermedad por VIH, resultante en otros tumores malignos"
B219,"Enfermedad por VIH, resultante en tumores malignos no especificados"
B220,"Enfermedad por VIH, resultante en encefalopatía"
B221,"Enfermedad por VIH, resultante en neumonitis linfoide intersticial"
B222,"Enfermedad por VIH, resultante en síndrome caquéctico"
B227,"Enfermedad por VIH, resultante en enfermedades múltiples clasificadas en otra parte"
B230,Síndrome de infección aguda debida a VIH
B231,"Enfermedad por VIH, resultante en linfadenopatía generalizada (persistente)"
B232,"Enfermedad por VIH, resultante en anormalidades inmunológicas y hematológicas, no clasificadas en otra parte"
B238,"Enfermedad por VIH, resultante en otras afecciones especificadas"
B24X,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación"
B250,Neumonitis debida a virus citomegálico
B251,Hepatitis debida a virus citomegálico
B252,Pancreatitis debida a virus citomegálico
B258,Otras enfermedades debidas a virus citomegálico
B259,"Enfermedad por virus citomegálico, no especificada"
B260,Orquitis por parotiditis
B261,Meningitis por parotiditis
B262,Encefalitis por parotiditis
B263,Pancreatitis por parotiditis
B268,Parotiditis infecciosa con otras complicaciones
B269,"Parotiditis, sin complicaciones"
B270,Mononucleosis debida a herpes virus gamma
B271,Mononucleosis por citomegalovirus
B278,Otras mononucleosis infecciosas
B279,"Mononucleosis infecciosa, no especificada"
B300,Queratoconjuntivitis debida a adenovirus
B301,Conjuntivitis debida a adenovirus
B302,Faringoconjuntivitis viral
B303,Conjuntivitis epidémica aguda hemorrágica (enterovírica)
B308,Otras conjuntivitis virales
B309,"Conjuntivitis viral, sin otra especificación"
B330,Mialgia epidémica
B331,Enfermedad del río Ross
B332,Carditis viral
B333,"Infecciones debidas a retrovirus, no clasificadas en otra parte"
B334,Síndrome (cardio) - pulmonar por hantavirus (SPH) (SCPH) (J171)
B338,Otras enfermedades virales especificadas
B340,"Infección debida a adenovirus, sin otra especificación"
B341,"Infección debida a enterovirus, sin otra especificación"
B342,"Infección debida a Coronavirus, sin otra especificación"
B343,"Infección debida a Parvovirus, sin otra especificación"
B344,"Infección debida a Papovavirus, sin otra especificación"
B348,Otras infecciones virales de sitio no especificado
B349,"Infección viral, no especificada"
B350,Tiña de la barba y del cuero cabelludo
B351,Tiña de las uñas
B352,Tiña de la mano
B353,Tiña del pie [Tinea pedis]
B354,Tiña del cuerpo [Tinea corporis]
B355,Tiña imbricada [Tinea imbricata]
B356,Tiña inguinal [Tinea cruris]
B358,Otras dermatofitosis
B359,"Dermatofitosis, no especificada"
B360,Pitiriasis versicolor
B361,Tiña negra
B362,Piedra blanca
B363,Piedra negra
B368,Otras micosis superficiales especificadas
B369,"Micosis superficial, sin otra especificación"
B370,Estomatitis candidiásica
B371,Candidiasis pulmonar
B372,Candidiasis de la piel y las uñas
B373,Candidiasis de la vulva y de la vagina
B374,Candidiasis de otras localizaciones urogenitales
B375,Meningitis debida a candida
B376,Endocarditis debida a candida
B377,Sepsis debida a candida
B378,Candidiasis de otros sitios
B379,"Candidiasis, no especificada"
B380,Coccidioidomicosis pulmonar aguda
B381,Coccidioidomicosis pulmonar crónica
B382,"Coccidioidomicosis pulmonar, sin otra especificación"
B383,Coccidioidomicosis cutánea
B384,Meningitis debida a coccidioidomicosis
B387,Coccidioidomicosis diseminada
B388,Otras formas de coccidioidomicosis
B389,"Coccidioidomicosis, no especificada"
B390,Infección pulmonar aguda debida a Histoplasma capsulatum
B391,Infección pulmonar crónica debida a Histoplasma capsulatum
B392,"Infección pulmonar debida a Histoplasma capsulatum, sin otra especificación"
B393,Infección diseminada debida a Histoplasma capsulatum
B394,"Histoplasmosis debida a Histoplasma capsulatum, sin otra especificación"
B395,Infección debida a Histoplasma duboisii
B399,"Histoplasmosis, no especificada"
B400,Blastomicosis pulmonar aguda
B401,Blastomicosis pulmonar crónica
B402,"Blastomicosis pulmonar, sin otra especificación"
B403,Blastomicosis cutánea
B407,Blastomicosis diseminada
B408,Otras formas de blastomicosis
B409,"Blastomicosis, no especificada"
B410,Paracoccidioidomicosis pulmonar
B417,Paracoccidioidomicosis diseminada
B418,Otras formas de paracoccidioidomicosis
B419,"Paracoccidioidomicosis, no especificada"
B420,Esporotricosis pulmonar
B421,Esporotricosis linfocutánea
B427,Esporotricosis diseminada
B428,Otras formas de esporotricosis
B429,"Esporotricosis, no especificada"
B430,Cromomicosis cutánea
B431,Absceso cerebral feomicótico
B432,Absceso y quiste subcutáneo feomicótico
B438,Otras formas de cromomicosis
B439,"Cromomicosis, no especificada"
B440,Aspergilosis pulmonar invasiva
B441,Otras aspergilosis pulmonares
B442,Aspergilosis amigdalina
B447,Aspergilosis diseminada
B448,Otras formas de aspergilosis
B449,"Aspergilosis, no especificada"
B450,Criptococosis pulmonar
B451,Criptococosis cerebral
B452,Criptococosis cutánea
B453,Criptococosis ósea
B457,Criptococosis diseminada
B458,Otras formas de criptococosis
B459,"Criptococosis, no especificada"
B460,Mucormicosis pulmonar
B461,Mucormicosis rinocerebral
B462,Mucormicosis gastrointestinal
B463,Mucormicosis cutánea
B464,Mucormicosis diseminada
B465,"Mucormicosis, sin otra especificación"
B468,Otras cigomicosis
B469,"Cigomicosis, no especificada"
B470,Eumicetoma
B471,Actinomicetoma
B479,"Micetoma, no especificado"
B480,Lobomicosis
B481,Rinosporidiosis
B482,Alesqueriasis
B483,Geotricosis
B484,Penicilosis
B487,Micosis oportunistas
B488,Otras micosis especificadas
B49X,"Micosis, no especificada"
B500,Paludismo debido a Plasmodium falciparum con complicaciones cerebrales
B508,Otro paludismo grave y complicado debido a Plasmodium falciparum
B509,"Paludismo debido a Plasmodium falciparum, sin otra especificación"
B510,Paludismo debido a Plasmodium vivax con ruptura esplénica
B518,Paludismo debido a Plasmodium vivax con otras complicaciones
B519,"Paludismo debido a Plasmodium vivax, sin complicaciones"
B520,Paludismo debido a Plasmodium malariae con nefropatía
B528,Paludismo debido a Plasmodium malariae con otras complicaciones
B529,"Paludismo debido a Plasmodium malariae, sin complicaciones"
B530,Paludismo debido a Plasmodium ovale
B531,Paludismo debido a plasmodios de los simios
B538,"Otro paludismo confirmado parasitológicamente, no clasificado en otra parte"
B54X,Paludismo [malaria] no especificado
B550,Leishmaniasis visceral
B551,Leishmaniasis cutánea
B552,Leishmaniasis mucocutánea
B559,"Leishmaniasis, no especificada"
B560,Tripanosomiasis gambiense
B561,Tripanosomiasis rhodesiense
B569,"Tripanosomiasis africana, sin otra especificación"
B570,Enfermedad de Chagas aguda que afecta al corazón
B571,Enfermedad de Chagas aguda que no afecta al corazón
B572,Enfermedad de Chagas (crónica) que afecta al corazón
B573,Enfermedad de Chagas (crónica) que afecta al sistema digestivo
B574,Enfermedad de Chagas (crónica) que afecta al sistema nervioso
B575,Enfermedad de Chagas (crónica) que afecta otros órganos
B580,Oculopatía debida a Toxoplasma
B581,Hepatitis debida a Toxoplasma
B582,Meningoencefalitis debida a Toxoplasma
B583,Toxoplasmosis pulmonar
B588,Toxoplasmosis con otro órgano afectado
B589,"Toxoplasmosis, no especificada"
B59X,Neumocistosis
B600,Babesiosis
B601,Acantamebiasis
B602,Naegleriasis
B608,Otras enfermedades especificadas debidas a protozoarios
B64X,"Enfermedad debida a protozoarios, no especificada"
B650,Esquistosomiasis debida a Schistosoma haematobium (esquistosomiasis urinaria)
B651,Esquistosomiasis debida a Schistosoma mansoni [esquistosomiasis intestinal]
B652,Esquistosomiasis debida a Schistosoma japonicum
B653,Dermatitis por cercarias
B658,Otras esquistosomiasis
B659,"Esquistosomiasis, no especificada"
B660,Opistorquiasis
B661,Clonorquiasis
B662,Dicrocoeliasis
B663,Fascioliasis
B664,Paragonimiasis
B665,Fasciolopsiasis
B668,Otras infecciones especificadas debidas a trematodos
B669,"Infección debida a trematodos, no especificada"
B670,Infección del hígado debida a Echinococcus granulosus
B671,Infección del pulmón debida a Echinococcus granulosus
B672,Infección de hueso debida a Echinococcus granulosus
B673,Infección de otro órgano y de sitios múltiples debida a Echinococcus granulosus
B674,"Infección debida a Echinococcus granulosus, sin otra especificación"
B675,Infección del hígado debida a Echinococcus multilocularis
